item_no,item_name,branch,quantity,date
SKU-00854,Item-00854,BR-B,210.75,2026-05-12
SKU-00652,Item-00652,BR-B,84.19,2026-05-08
SKU-00849,Item-00849,BR-A,184.33,2026-05-04
SKU-00808,Item-00808,BR-D,116.33,2026-05-02
SKU-00590,Item-00590,BR-B,20.97,2026-05-02
SKU-00311,Item-00311,BR-D,7.31,2026-05-20
SKU-00661,Item-00661,BR-A,151.4,2026-05-09
SKU-00305,Item-00305,BR-C,87.58,2026-05-04
SKU-00745,Item-00745,BR-E,69.33,2026-05-08
SKU-00531,Item-00531,BR-E,24.2,2026-05-20
SKU-00487,Item-00487,BR-A,64.7,2026-05-09
SKU-00839,Item-00839,BR-E,88.32,2026-05-18
SKU-00658,Item-00658,BR-A,306.65,2026-05-17
SKU-00587,Item-00587,BR-D,207.81,2026-05-27
SKU-00526,Item-00526,BR-D,71.99,2026-05-13
SKU-00312,Item-00312,BR-D,33.64,2026-05-14
SKU-00337,Item-00337,BR-B,182.17,2026-05-05
SKU-00452,Item-00452,BR-B,175.96,2026-05-06
SKU-00546,Item-00546,BR-C,102.02,2026-05-22
SKU-00809,Item-00809,BR-B,98.48,2026-05-20
SKU-00436,Item-00436,BR-C,12.63,2026-05-18
SKU-00849,Item-00849,BR-D,109.28,2026-05-13
SKU-00669,Item-00669,BR-D,200.67,2026-05-24
SKU-00777,Item-00777,BR-E,71.34,2026-05-04
SKU-00495,Item-00495,BR-A,158.86,2026-05-17
SKU-00516,Item-00516,BR-E,125.06,2026-05-02
SKU-00702,Item-00702,BR-D,187.42,2026-05-14
SKU-00821,Item-00821,BR-E,112.27,2026-05-15
SKU-00618,Item-00618,BR-E,292.63,2026-05-25
SKU-00549,Item-00549,BR-D,131.76,2026-05-01
SKU-00742,Item-00742,BR-A,290.34,2026-05-16
SKU-00667,Item-00667,BR-A,13.63,2026-05-26
SKU-00606,Item-00606,BR-A,175.37,2026-05-18
SKU-00303,Item-00303,BR-A,22.68,2026-05-12
SKU-00307,Item-00307,BR-A,230.03,2026-05-07
SKU-00680,Item-00680,BR-B,47.07,2026-05-21
SKU-00869,Item-00869,BR-C,32.01,2026-05-13
SKU-00371,Item-00371,BR-C,110.79,2026-05-24
SKU-00753,Item-00753,BR-E,164.88,2026-05-28
SKU-00763,Item-00763,BR-D,13.44,2026-05-24
SKU-00503,Item-00503,BR-B,130.32,2026-05-19
SKU-00824,Item-00824,BR-A,118.87,2026-05-12
SKU-00537,Item-00537,BR-C,145.91,2026-05-14
SKU-00495,Item-00495,BR-D,171.14,2026-05-06
SKU-00636,Item-00636,BR-E,8.15,2026-05-24
SKU-00308,Item-00308,BR-A,54.08,2026-05-19
SKU-00621,Item-00621,BR-E,111.05,2026-05-24
SKU-00822,Item-00822,BR-C,16.03,2026-05-27
SKU-00615,Item-00615,BR-C,75.67,2026-05-08
SKU-00620,Item-00620,BR-B,18.84,2026-05-03
SKU-00462,Item-00462,BR-B,98.8,2026-05-11
SKU-00446,Item-00446,BR-E,27.39,2026-05-24
SKU-00814,Item-00814,BR-B,74.49,2026-05-05
SKU-00852,Item-00852,BR-D,37.52,2026-05-04
SKU-00344,Item-00344,BR-A,64.24,2026-05-20
SKU-00334,Item-00334,BR-A,6.92,2026-05-21
SKU-00661,Item-00661,BR-D,141.69,2026-05-10
SKU-00387,Item-00387,BR-C,90.77,2026-05-25
SKU-00515,Item-00515,BR-A,87.09,2026-05-11
SKU-00817,Item-00817,BR-E,115.39,2026-05-27
SKU-00634,Item-00634,BR-D,195.44,2026-05-20
SKU-00801,Item-00801,BR-C,155.41,2026-05-01
SKU-00857,Item-00857,BR-C,98.24,2026-05-22
SKU-00703,Item-00703,BR-B,106.44,2026-05-28
SKU-00413,Item-00413,BR-C,162.59,2026-05-27
SKU-00544,Item-00544,BR-C,6.33,2026-05-12
SKU-00627,Item-00627,BR-D,154.25,2026-05-06
SKU-00315,Item-00315,BR-D,31.74,2026-05-16
SKU-00871,Item-00871,BR-E,83.61,2026-05-07
SKU-00699,Item-00699,BR-B,111.47,2026-05-12
SKU-00488,Item-00488,BR-D,347.27,2026-05-15
SKU-00590,Item-00590,BR-E,24.71,2026-05-18
SKU-00609,Item-00609,BR-C,143.47,2026-05-28
SKU-00318,Item-00318,BR-C,63.69,2026-05-28
SKU-00591,Item-00591,BR-C,48.83,2026-05-28
SKU-00472,Item-00472,BR-C,311.55,2026-05-15
SKU-00823,Item-00823,BR-B,125.95,2026-05-04
SKU-00517,Item-00517,BR-A,9.41,2026-05-01
SKU-00538,Item-00538,BR-D,163.48,2026-05-21
SKU-00655,Item-00655,BR-C,56.55,2026-05-21
SKU-00539,Item-00539,BR-B,188.19,2026-05-26
SKU-00301,Item-00301,BR-A,175.65,2026-05-27
SKU-00772,Item-00772,BR-E,133.59,2026-05-27
SKU-00727,Item-00727,BR-A,147.06,2026-05-07
SKU-00812,Item-00812,BR-A,61.57,2026-05-17
SKU-00628,Item-00628,BR-A,64.59,2026-05-23
SKU-00372,Item-00372,BR-C,98.91,2026-05-29
SKU-00408,Item-00408,BR-E,132.75,2026-05-06
SKU-00471,Item-00471,BR-A,138.61,2026-05-03
SKU-00662,Item-00662,BR-B,110.59,2026-05-03
SKU-00381,Item-00381,BR-D,173.17,2026-05-23
SKU-00753,Item-00753,BR-E,162.51,2026-05-10
SKU-00778,Item-00778,BR-A,14.1,2026-05-06
SKU-00444,Item-00444,BR-C,53.82,2026-05-03
SKU-00763,Item-00763,BR-D,9.0,2026-05-22
SKU-00589,Item-00589,BR-E,27.82,2026-05-20
SKU-00483,Item-00483,BR-B,118.98,2026-05-08
SKU-00719,Item-00719,BR-A,97.16,2026-05-16
SKU-00319,Item-00319,BR-D,167.91,2026-05-01
SKU-00730,Item-00730,BR-D,128.85,2026-05-20
SKU-00690,Item-00690,BR-C,85.22,2026-05-28
SKU-00871,Item-00871,BR-B,165.21,2026-05-06
SKU-00634,Item-00634,BR-E,132.61,2026-05-30
SKU-00388,Item-00388,BR-E,43.61,2026-05-26
SKU-00309,Item-00309,BR-A,39.67,2026-05-10
SKU-00561,Item-00561,BR-C,159.75,2026-05-14
SKU-00385,Item-00385,BR-B,22.54,2026-05-01
SKU-00855,Item-00855,BR-C,134.22,2026-05-08
SKU-00425,Item-00425,BR-C,315.95,2026-05-05
SKU-00767,Item-00767,BR-C,132.8,2026-05-20
SKU-00419,Item-00419,BR-E,119.35,2026-05-12
SKU-00585,Item-00585,BR-C,40.68,2026-05-01
SKU-00721,Item-00721,BR-B,172.27,2026-05-26
SKU-00435,Item-00435,BR-D,77.82,2026-05-21
SKU-00705,Item-00705,BR-A,95.28,2026-05-27
SKU-00495,Item-00495,BR-B,248.72,2026-05-08
SKU-00323,Item-00323,BR-B,138.49,2026-05-18
SKU-00491,Item-00491,BR-B,112.23,2026-05-26
SKU-00823,Item-00823,BR-C,93.21,2026-05-04
SKU-00512,Item-00512,BR-C,198.67,2026-05-27
SKU-00758,Item-00758,BR-C,101.78,2026-05-30
SKU-00529,Item-00529,BR-B,119.0,2026-05-02
SKU-00515,Item-00515,BR-E,66.41,2026-05-14
SKU-00478,Item-00478,BR-A,283.22,2026-05-02
SKU-00432,Item-00432,BR-C,67.41,2026-05-08
SKU-00349,Item-00349,BR-E,97.06,2026-05-13
SKU-00477,Item-00477,BR-E,34.12,2026-05-22
SKU-00718,Item-00718,BR-C,72.02,2026-05-16
SKU-00317,Item-00317,BR-D,17.74,2026-05-13
SKU-00479,Item-00479,BR-A,20.1,2026-05-16
SKU-00563,Item-00563,BR-B,179.98,2026-05-19
SKU-00406,Item-00406,BR-E,30.41,2026-05-12
SKU-00881,Item-00881,BR-C,46.01,2026-05-01
SKU-00557,Item-00557,BR-C,175.82,2026-05-14
SKU-00630,Item-00630,BR-C,60.48,2026-05-24
SKU-00451,Item-00451,BR-E,49.29,2026-05-20
SKU-00814,Item-00814,BR-E,143.18,2026-05-03
SKU-00411,Item-00411,BR-E,23.53,2026-05-02
SKU-00314,Item-00314,BR-D,174.85,2026-05-18
SKU-00313,Item-00313,BR-A,170.48,2026-05-05
SKU-00334,Item-00334,BR-B,4.76,2026-05-29
SKU-00776,Item-00776,BR-D,100.22,2026-05-04
SKU-00721,Item-00721,BR-B,244.82,2026-05-06
SKU-00563,Item-00563,BR-C,223.08,2026-05-29
SKU-00330,Item-00330,BR-D,143.12,2026-05-15
SKU-00841,Item-00841,BR-E,110.39,2026-05-26
SKU-00681,Item-00681,BR-E,17.8,2026-05-15
SKU-00803,Item-00803,BR-C,18.47,2026-05-22
SKU-00421,Item-00421,BR-C,227.53,2026-05-17
SKU-00322,Item-00322,BR-D,139.46,2026-05-04
SKU-00466,Item-00466,BR-A,322.58,2026-05-25
SKU-00781,Item-00781,BR-B,93.0,2026-05-04
SKU-00610,Item-00610,BR-C,108.32,2026-05-08
SKU-00435,Item-00435,BR-E,43.77,2026-05-21
SKU-00335,Item-00335,BR-C,210.51,2026-05-07
SKU-00887,Item-00887,BR-C,124.59,2026-05-01
SKU-00796,Item-00796,BR-A,160.32,2026-05-14
SKU-00312,Item-00312,BR-E,42.87,2026-05-04
SKU-00576,Item-00576,BR-E,91.67,2026-05-30
SKU-00539,Item-00539,BR-A,130.46,2026-05-13
SKU-00337,Item-00337,BR-C,112.03,2026-05-25
SKU-00354,Item-00354,BR-D,63.07,2026-05-27
SKU-00723,Item-00723,BR-D,81.87,2026-05-06
SKU-00544,Item-00544,BR-E,7.96,2026-05-05
SKU-00715,Item-00715,BR-B,283.1,2026-05-23
SKU-00686,Item-00686,BR-A,43.88,2026-05-26
SKU-00521,Item-00521,BR-E,176.27,2026-05-25
SKU-00582,Item-00582,BR-B,68.99,2026-05-10
SKU-00308,Item-00308,BR-C,55.38,2026-05-12
SKU-00375,Item-00375,BR-C,97.29,2026-05-20
SKU-00833,Item-00833,BR-B,176.61,2026-05-20
SKU-00893,Item-00893,BR-A,79.16,2026-05-03
SKU-00467,Item-00467,BR-E,87.24,2026-05-03
SKU-00878,Item-00878,BR-A,45.1,2026-05-03
SKU-00890,Item-00890,BR-E,113.57,2026-05-21
SKU-00419,Item-00419,BR-D,131.24,2026-05-17
SKU-00638,Item-00638,BR-E,177.86,2026-05-04
SKU-00459,Item-00459,BR-A,187.26,2026-05-24
SKU-00590,Item-00590,BR-C,24.07,2026-05-13
SKU-00669,Item-00669,BR-D,241.32,2026-05-28
SKU-00793,Item-00793,BR-C,103.84,2026-05-17
SKU-00489,Item-00489,BR-C,113.31,2026-05-05
SKU-00852,Item-00852,BR-A,24.45,2026-05-04
SKU-00486,Item-00486,BR-E,84.98,2026-05-09
SKU-00582,Item-00582,BR-C,45.58,2026-05-06
SKU-00700,Item-00700,BR-C,90.44,2026-05-23
SKU-00612,Item-00612,BR-E,76.83,2026-05-09
SKU-00742,Item-00742,BR-C,136.6,2026-05-24
SKU-00569,Item-00569,BR-C,14.14,2026-05-26
SKU-00517,Item-00517,BR-A,10.56,2026-05-08
SKU-00841,Item-00841,BR-B,52.06,2026-05-25
SKU-00562,Item-00562,BR-D,156.21,2026-05-13
SKU-00530,Item-00530,BR-B,215.73,2026-05-30
SKU-00335,Item-00335,BR-E,103.33,2026-05-27
SKU-00386,Item-00386,BR-B,78.66,2026-05-24
SKU-00744,Item-00744,BR-A,39.1,2026-05-05
SKU-00656,Item-00656,BR-A,117.61,2026-05-25
SKU-00786,Item-00786,BR-C,40.74,2026-05-04
SKU-00874,Item-00874,BR-C,241.21,2026-05-23
SKU-00523,Item-00523,BR-B,48.82,2026-05-01
SKU-00505,Item-00505,BR-C,79.22,2026-05-15
SKU-00421,Item-00421,BR-E,205.61,2026-05-12
SKU-00616,Item-00616,BR-B,65.0,2026-05-25
SKU-00751,Item-00751,BR-C,255.1,2026-05-04
SKU-00875,Item-00875,BR-D,76.23,2026-05-18
SKU-00622,Item-00622,BR-B,179.75,2026-05-06
SKU-00821,Item-00821,BR-C,164.0,2026-05-18
SKU-00625,Item-00625,BR-A,90.6,2026-05-16
SKU-00661,Item-00661,BR-E,187.14,2026-05-20
SKU-00453,Item-00453,BR-D,103.62,2026-05-22
SKU-00352,Item-00352,BR-A,187.74,2026-05-13
SKU-00425,Item-00425,BR-A,107.07,2026-05-29
SKU-00409,Item-00409,BR-A,43.55,2026-05-10
SKU-00809,Item-00809,BR-E,262.46,2026-05-16
SKU-00536,Item-00536,BR-D,113.46,2026-05-05
SKU-00421,Item-00421,BR-D,173.01,2026-05-16
SKU-00548,Item-00548,BR-E,42.13,2026-05-02
SKU-00382,Item-00382,BR-D,169.0,2026-05-14
SKU-00433,Item-00433,BR-E,218.39,2026-05-30
SKU-00354,Item-00354,BR-D,131.35,2026-05-22
SKU-00808,Item-00808,BR-D,128.51,2026-05-09
SKU-00368,Item-00368,BR-D,85.93,2026-05-13
SKU-00573,Item-00573,BR-E,133.02,2026-05-22
SKU-00837,Item-00837,BR-E,185.44,2026-05-26
SKU-00620,Item-00620,BR-C,22.28,2026-05-02
SKU-00580,Item-00580,BR-E,88.65,2026-05-10
SKU-00663,Item-00663,BR-B,117.69,2026-05-24
SKU-00600,Item-00600,BR-C,104.64,2026-05-29
SKU-00482,Item-00482,BR-D,24.21,2026-05-15
SKU-00544,Item-00544,BR-A,4.73,2026-05-27
SKU-00577,Item-00577,BR-A,27.91,2026-05-07
SKU-00487,Item-00487,BR-A,90.17,2026-05-18
SKU-00412,Item-00412,BR-E,147.0,2026-05-28
SKU-00701,Item-00701,BR-B,105.81,2026-05-17
SKU-00650,Item-00650,BR-D,125.55,2026-05-30
SKU-00797,Item-00797,BR-A,19.65,2026-05-13
SKU-00817,Item-00817,BR-E,89.75,2026-05-08
SKU-00610,Item-00610,BR-B,155.04,2026-05-12
SKU-00490,Item-00490,BR-E,196.93,2026-05-01
SKU-00317,Item-00317,BR-C,15.43,2026-05-07
SKU-00704,Item-00704,BR-B,101.62,2026-05-06
SKU-00636,Item-00636,BR-E,12.75,2026-05-17
SKU-00489,Item-00489,BR-A,77.52,2026-05-23
SKU-00862,Item-00862,BR-C,129.1,2026-05-15
SKU-00565,Item-00565,BR-B,41.98,2026-05-26
SKU-00620,Item-00620,BR-D,13.11,2026-05-25
SKU-00685,Item-00685,BR-B,52.28,2026-05-07
SKU-00547,Item-00547,BR-B,102.02,2026-05-04
SKU-00416,Item-00416,BR-E,136.37,2026-05-20
SKU-00654,Item-00654,BR-B,97.13,2026-05-16
SKU-00591,Item-00591,BR-E,104.32,2026-05-07
SKU-00537,Item-00537,BR-C,108.24,2026-05-17
SKU-00560,Item-00560,BR-C,78.21,2026-05-18
SKU-00520,Item-00520,BR-E,100.44,2026-05-10
SKU-00898,Item-00898,BR-A,136.52,2026-05-17
SKU-00427,Item-00427,BR-C,178.76,2026-05-07
SKU-00739,Item-00739,BR-A,39.63,2026-05-21
