branch_code,item_code,item_name,quantity,date
BR-D,CAKE-008,Whole-Wheat Cake,4,2026-04-30
BR-D,CAKE-009,Pineapple Upside-Down Cake,9,2026-04-30
BR-D,CAKE-010,Butter Cake,15,2026-04-30
BR-E,CAKE-001,Chocolate Fudge Cake,64,2026-04-30
BR-E,CAKE-002,Vanilla Sponge Cake,40,2026-04-30
BR-E,CAKE-003,Red Velvet Cake,16,2026-04-30
BR-E,CAKE-004,Lemon Drizzle Cake,14,2026-04-30
BR-E,CAKE-005,Carrot Cake,20,2026-04-30
BR-E,CAKE-006,Black Forest Cake,39,2026-04-30
BR-E,CAKE-007,Strawberry Shortcake,38,2026-04-30
BR-E,CAKE-008,Whole-Wheat Cake,11,2026-04-30
BR-E,CAKE-009,Pineapple Upside-Down Cake,21,2026-04-30
BR-E,CAKE-010,Butter Cake,37,2026-04-30
BR-A,CAKE-001,Chocolate Fudge Cake,181,2026-05-31
BR-A,CAKE-002,Vanilla Sponge Cake,101,2026-05-31
BR-A,CAKE-003,Red Velvet Cake,46,2026-05-31
BR-A,CAKE-004,Lemon Drizzle Cake,34,2026-05-31
BR-A,CAKE-005,Carrot Cake,52,2026-05-31
BR-A,CAKE-006,Black Forest Cake,100,2026-05-31
BR-A,CAKE-007,Strawberry Shortcake,104,2026-05-31
BR-A,CAKE-008,Whole-Wheat Cake,28,2026-05-31
BR-A,CAKE-009,Pineapple Upside-Down Cake,55,2026-05-31
BR-A,CAKE-010,Butter Cake,96,2026-05-31
BR-B,CAKE-001,Chocolate Fudge Cake,160,2026-05-31
BR-B,CAKE-002,Vanilla Sponge Cake,90,2026-05-31
BR-B,CAKE-003,Red Velvet Cake,41,2026-05-31
BR-B,CAKE-004,Lemon Drizzle Cake,30,2026-05-31
BR-B,CAKE-005,Carrot Cake,46,2026-05-31
BR-B,CAKE-006,Black Forest Cake,88,2026-05-31
BR-B,CAKE-007,Strawberry Shortcake,93,2026-05-31
BR-B,CAKE-008,Whole-Wheat Cake,25,2026-05-31
BR-B,CAKE-009,Pineapple Upside-Down Cake,49,2026-05-31
BR-B,CAKE-010,Butter Cake,85,2026-05-31
BR-C,CAKE-001,Chocolate Fudge Cake,128,2026-05-31
BR-C,CAKE-002,Vanilla Sponge Cake,72,2026-05-31
BR-C,CAKE-003,Red Velvet Cake,32,2026-05-31
BR-C,CAKE-004,Lemon Drizzle Cake,24,2026-05-31
BR-C,CAKE-005,Carrot Cake,37,2026-05-31
BR-C,CAKE-006,Black Forest Cake,71,2026-05-31
BR-C,CAKE-007,Strawberry Shortcake,75,2026-05-31
BR-C,CAKE-008,Whole-Wheat Cake,20,2026-05-31
BR-C,CAKE-009,Pineapple Upside-Down Cake,39,2026-05-31
BR-C,CAKE-010,Butter Cake,68,2026-05-31
BR-D,CAKE-001,Chocolate Fudge Cake,90,2026-05-31
BR-D,CAKE-002,Vanilla Sponge Cake,51,2026-05-31
BR-D,CAKE-003,Red Velvet Cake,23,2026-05-31
BR-D,CAKE-004,Lemon Drizzle Cake,17,2026-05-31
BR-D,CAKE-005,Carrot Cake,26,2026-05-31
BR-D,CAKE-006,Black Forest Cake,50,2026-05-31
BR-D,CAKE-007,Strawberry Shortcake,52,2026-05-31
BR-D,CAKE-008,Whole-Wheat Cake,14,2026-05-31
BR-D,CAKE-009,Pineapple Upside-Down Cake,28,2026-05-31
BR-D,CAKE-010,Butter Cake,48,2026-05-31
BR-E,CAKE-001,Chocolate Fudge Cake,61,2026-05-31
BR-E,CAKE-002,Vanilla Sponge Cake,34,2026-05-31
BR-E,CAKE-003,Red Velvet Cake,15,2026-05-31
BR-E,CAKE-004,Lemon Drizzle Cake,11,2026-05-31
BR-E,CAKE-005,Carrot Cake,17,2026-05-31
BR-E,CAKE-006,Black Forest Cake,33,2026-05-31
BR-E,CAKE-007,Strawberry Shortcake,35,2026-05-31
BR-E,CAKE-008,Whole-Wheat Cake,9,2026-05-31
BR-E,CAKE-009,Pineapple Upside-Down Cake,18,2026-05-31
BR-E,CAKE-010,Butter Cake,32,2026-05-31
BR-A,CAKE-001,Chocolate Fudge Cake,221,2026-06-30
BR-A,CAKE-002,Vanilla Sponge Cake,120,2026-06-30
BR-A,CAKE-003,Red Velvet Cake,56,2026-06-30
BR-A,CAKE-004,Lemon Drizzle Cake,37,2026-06-30
BR-A,CAKE-005,Carrot Cake,63,2026-06-30
BR-A,CAKE-006,Black Forest Cake,122,2026-06-30
BR-A,CAKE-007,Strawberry Shortcake,132,2026-06-30
BR-A,CAKE-008,Whole-Wheat Cake,32,2026-06-30
BR-A,CAKE-009,Pineapple Upside-Down Cake,67,2026-06-30
BR-A,CAKE-010,Butter Cake,113,2026-06-30
BR-B,CAKE-001,Chocolate Fudge Cake,169,2026-06-30
BR-B,CAKE-002,Vanilla Sponge Cake,92,2026-06-30
BR-B,CAKE-003,Red Velvet Cake,43,2026-06-30
BR-B,CAKE-004,Lemon Drizzle Cake,28,2026-06-30
BR-B,CAKE-005,Carrot Cake,49,2026-06-30
BR-B,CAKE-006,Black Forest Cake,94,2026-06-30
BR-B,CAKE-007,Strawberry Shortcake,101,2026-06-30
BR-B,CAKE-008,Whole-Wheat Cake,25,2026-06-30
BR-B,CAKE-009,Pineapple Upside-Down Cake,51,2026-06-30
BR-B,CAKE-010,Butter Cake,87,2026-06-30
BR-C,CAKE-001,Chocolate Fudge Cake,152,2026-06-30
BR-C,CAKE-002,Vanilla Sponge Cake,84,2026-06-30
BR-C,CAKE-003,Red Velvet Cake,39,2026-06-30
BR-C,CAKE-004,Lemon Drizzle Cake,25,2026-06-30
BR-C,CAKE-005,Carrot Cake,44,2026-06-30
BR-C,CAKE-006,Black Forest Cake,84,2026-06-30
BR-C,CAKE-007,Strawberry Shortcake,90,2026-06-30
BR-C,CAKE-008,Whole-Wheat Cake,22,2026-06-30
BR-C,CAKE-009,Pineapple Upside-Down Cake,46,2026-06-30
BR-C,CAKE-010,Butter Cake,78,2026-06-30
BR-D,CAKE-001,Chocolate Fudge Cake,113,2026-06-30
BR-D,CAKE-002,Vanilla Sponge Cake,62,2026-06-30
BR-D,CAKE-003,Red Velvet Cake,29,2026-06-30
BR-D,CAKE-004,Lemon Drizzle Cake,19,2026-06-30
BR-D,CAKE-005,Carrot Cake,32,2026-06-30
BR-D,CAKE-006,Black Forest Cake,63,2026-06-30
BR-D,CAKE-007,Strawberry Shortcake,67,2026-06-30
BR-D,CAKE-008,Whole-Wheat Cake,16,2026-06-30
BR-D,CAKE-009,Pineapple Upside-Down Cake,33,2026-06-30
BR-D,CAKE-010,Butter Cake,58,2026-06-30
BR-E,CAKE-001,Chocolate Fudge Cake,69,2026-06-30
BR-E,CAKE-002,Vanilla Sponge Cake,38,2026-06-30
BR-E,CAKE-003,Red Velvet Cake,18,2026-06-30
BR-E,CAKE-004,Lemon Drizzle Cake,12,2026-06-30
BR-E,CAKE-005,Carrot Cake,20,2026-06-30
BR-E,CAKE-006,Black Forest Cake,38,2026-06-30
BR-E,CAKE-007,Strawberry Shortcake,41,2026-06-30
BR-E,CAKE-008,Whole-Wheat Cake,10,2026-06-30
BR-E,CAKE-009,Pineapple Upside-Down Cake,21,2026-06-30
BR-E,CAKE-010,Butter Cake,36,2026-06-30
BR-A,CAKE-001,Chocolate Fudge Cake,218,2026-07-31
BR-A,CAKE-002,Vanilla Sponge Cake,129,2026-07-31
BR-A,CAKE-003,Red Velvet Cake,61,2026-07-31
BR-A,CAKE-004,Lemon Drizzle Cake,40,2026-07-31
BR-A,CAKE-005,Carrot Cake,68,2026-07-31
BR-A,CAKE-006,Black Forest Cake,141,2026-07-31
BR-A,CAKE-007,Strawberry Shortcake,146,2026-07-31
BR-A,CAKE-008,Whole-Wheat Cake,35,2026-07-31
BR-A,CAKE-009,Pineapple Upside-Down Cake,73,2026-07-31
BR-A,CAKE-010,Butter Cake,123,2026-07-31
BR-B,CAKE-001,Chocolate Fudge Cake,160,2026-07-31
BR-B,CAKE-002,Vanilla Sponge Cake,94,2026-07-31
BR-B,CAKE-003,Red Velvet Cake,45,2026-07-31
BR-B,CAKE-004,Lemon Drizzle Cake,29,2026-07-31
BR-B,CAKE-005,Carrot Cake,50,2026-07-31
BR-B,CAKE-006,Black Forest Cake,103,2026-07-31
BR-B,CAKE-007,Strawberry Shortcake,107,2026-07-31
BR-B,CAKE-008,Whole-Wheat Cake,26,2026-07-31
BR-B,CAKE-009,Pineapple Upside-Down Cake,53,2026-07-31
BR-B,CAKE-010,Butter Cake,90,2026-07-31
BR-C,CAKE-001,Chocolate Fudge Cake,115,2026-07-31
BR-C,CAKE-002,Vanilla Sponge Cake,68,2026-07-31
BR-C,CAKE-003,Red Velvet Cake,32,2026-07-31
BR-C,CAKE-004,Lemon Drizzle Cake,21,2026-07-31
BR-C,CAKE-005,Carrot Cake,36,2026-07-31
BR-C,CAKE-006,Black Forest Cake,74,2026-07-31
BR-C,CAKE-007,Strawberry Shortcake,77,2026-07-31
BR-C,CAKE-008,Whole-Wheat Cake,18,2026-07-31
BR-C,CAKE-009,Pineapple Upside-Down Cake,39,2026-07-31
BR-C,CAKE-010,Butter Cake,65,2026-07-31
BR-D,CAKE-001,Chocolate Fudge Cake,84,2026-07-31
BR-D,CAKE-002,Vanilla Sponge Cake,50,2026-07-31
BR-D,CAKE-003,Red Velvet Cake,24,2026-07-31
BR-D,CAKE-004,Lemon Drizzle Cake,16,2026-07-31
BR-D,CAKE-005,Carrot Cake,26,2026-07-31
BR-D,CAKE-006,Black Forest Cake,55,2026-07-31
BR-D,CAKE-007,Strawberry Shortcake,57,2026-07-31
BR-D,CAKE-008,Whole-Wheat Cake,13,2026-07-31
BR-D,CAKE-009,Pineapple Upside-Down Cake,28,2026-07-31
BR-D,CAKE-010,Butter Cake,48,2026-07-31
BR-E,CAKE-001,Chocolate Fudge Cake,82,2026-07-31
BR-E,CAKE-002,Vanilla Sponge Cake,49,2026-07-31
BR-E,CAKE-003,Red Velvet Cake,23,2026-07-31
BR-E,CAKE-004,Lemon Drizzle Cake,15,2026-07-31
BR-E,CAKE-005,Carrot Cake,26,2026-07-31
BR-E,CAKE-006,Black Forest Cake,53,2026-07-31
BR-E,CAKE-007,Strawberry Shortcake,55,2026-07-31
BR-E,CAKE-008,Whole-Wheat Cake,13,2026-07-31
BR-E,CAKE-009,Pineapple Upside-Down Cake,27,2026-07-31
BR-E,CAKE-010,Butter Cake,47,2026-07-31
BR-A,CAKE-001,Chocolate Fudge Cake,160,2026-08-31
BR-A,CAKE-002,Vanilla Sponge Cake,103,2026-08-31
BR-A,CAKE-003,Red Velvet Cake,46,2026-08-31
BR-A,CAKE-004,Lemon Drizzle Cake,30,2026-08-31
BR-A,CAKE-005,Carrot Cake,54,2026-08-31
BR-A,CAKE-006,Black Forest Cake,121,2026-08-31
BR-A,CAKE-007,Strawberry Shortcake,112,2026-08-31
BR-A,CAKE-008,Whole-Wheat Cake,28,2026-08-31
BR-A,CAKE-009,Pineapple Upside-Down Cake,58,2026-08-31
BR-A,CAKE-010,Butter Cake,98,2026-08-31
BR-B,CAKE-001,Chocolate Fudge Cake,139,2026-08-31
BR-B,CAKE-002,Vanilla Sponge Cake,90,2026-08-31
BR-B,CAKE-003,Red Velvet Cake,40,2026-08-31
BR-B,CAKE-004,Lemon Drizzle Cake,26,2026-08-31
BR-B,CAKE-005,Carrot Cake,48,2026-08-31
BR-B,CAKE-006,Black Forest Cake,105,2026-08-31
BR-B,CAKE-007,Strawberry Shortcake,98,2026-08-31
BR-B,CAKE-008,Whole-Wheat Cake,25,2026-08-31
BR-B,CAKE-009,Pineapple Upside-Down Cake,50,2026-08-31
BR-B,CAKE-010,Butter Cake,85,2026-08-31
BR-C,CAKE-001,Chocolate Fudge Cake,102,2026-08-31
BR-C,CAKE-002,Vanilla Sponge Cake,66,2026-08-31
BR-C,CAKE-003,Red Velvet Cake,29,2026-08-31
BR-C,CAKE-004,Lemon Drizzle Cake,19,2026-08-31
BR-C,CAKE-005,Carrot Cake,35,2026-08-31
BR-C,CAKE-006,Black Forest Cake,78,2026-08-31
BR-C,CAKE-007,Strawberry Shortcake,71,2026-08-31
BR-C,CAKE-008,Whole-Wheat Cake,18,2026-08-31
BR-C,CAKE-009,Pineapple Upside-Down Cake,37,2026-08-31
BR-C,CAKE-010,Butter Cake,62,2026-08-31
BR-D,CAKE-001,Chocolate Fudge Cake,78,2026-08-31
BR-D,CAKE-002,Vanilla Sponge Cake,50,2026-08-31
BR-D,CAKE-003,Red Velvet Cake,22,2026-08-31
BR-D,CAKE-004,Lemon Drizzle Cake,15,2026-08-31
BR-D,CAKE-005,Carrot Cake,27,2026-08-31
BR-D,CAKE-006,Black Forest Cake,59,2026-08-31
BR-D,CAKE-007,Strawberry Shortcake,55,2026-08-31
BR-D,CAKE-008,Whole-Wheat Cake,13,2026-08-31
BR-D,CAKE-009,Pineapple Upside-Down Cake,28,2026-08-31
BR-D,CAKE-010,Butter Cake,49,2026-08-31
BR-E,CAKE-001,Chocolate Fudge Cake,32,2026-08-31
BR-E,CAKE-002,Vanilla Sponge Cake,20,2026-08-31
BR-E,CAKE-003,Red Velvet Cake,9,2026-08-31
BR-E,CAKE-004,Lemon Drizzle Cake,6,2026-08-31
BR-E,CAKE-005,Carrot Cake,11,2026-08-31
BR-E,CAKE-006,Black Forest Cake,24,2026-08-31
BR-E,CAKE-007,Strawberry Shortcake,23,2026-08-31
BR-E,CAKE-008,Whole-Wheat Cake,6,2026-08-31
BR-E,CAKE-009,Pineapple Upside-Down Cake,12,2026-08-31
BR-E,CAKE-010,Butter Cake,20,2026-08-31
