date,outlet_id,product_id,units_sold,units_returned,revenue,closing_stock
2025-07-01,outlet-3,prod-11,5,0,8.95,9
2025-07-01,outlet-3,prod-12,7,0,20.93,15
2025-07-01,outlet-3,prod-13,11,0,18.59,51
2025-07-01,outlet-3,prod-14,6,0,13.74,55
2025-07-01,outlet-3,prod-15,3,0,8.97,21
2025-07-01,outlet-3,prod-16,2,0,2.58,20
2025-07-01,outlet-3,prod-17,7,1,24.43,5
2025-07-01,outlet-3,prod-18,11,1,16.39,56
2025-07-01,outlet-3,prod-19,14,1,41.86,42
2025-07-01,outlet-3,prod-20,27,1,53.73,153
2025-07-01,outlet-3,prod-21,15,1,34.35,1
2025-07-01,outlet-3,prod-22,5,0,17.450000000000003,13
2025-07-01,outlet-3,prod-23,4,0,9.96,4
2025-07-01,outlet-3,prod-24,0,0,0.0,9
2025-07-01,outlet-3,prod-25,18,0,32.22,157
2025-07-01,outlet-3,prod-26,3,0,13.47,6
2025-07-01,outlet-3,prod-27,22,1,28.380000000000003,157
2025-07-01,outlet-3,prod-28,3,0,14.97,3
2025-07-01,outlet-3,prod-29,6,0,23.94,19
2025-07-01,outlet-3,prod-30,6,0,14.940000000000001,8
2025-07-01,outlet-3,prod-31,138,6,178.02,9
2025-07-01,outlet-3,prod-32,55,2,136.95000000000002,30
2025-07-01,outlet-3,prod-33,3,0,10.47,12
2025-07-01,outlet-3,prod-34,4,0,5.96,13
2025-07-01,outlet-3,prod-35,2,0,13.98,35
2025-07-01,outlet-3,prod-36,3,0,23.97,0
2025-07-01,outlet-3,prod-37,31,1,30.69,80
2025-07-01,outlet-3,prod-38,0,0,0.0,7
2025-07-01,outlet-3,prod-39,2,0,10.98,0
2025-07-01,outlet-3,prod-40,2,0,5.98,0
2025-07-01,outlet-4,prod-1,32,1,47.68,257
2025-07-01,outlet-4,prod-2,37,1,47.730000000000004,143
2025-07-01,outlet-4,prod-3,34,1,118.66000000000001,533
2025-07-01,outlet-4,prod-4,33,1,65.67,38
2025-07-01,outlet-4,prod-5,19,0,62.51,43
2025-07-01,outlet-4,prod-6,20,0,139.8,26
2025-07-01,outlet-4,prod-7,14,1,111.86,422
2025-07-01,outlet-4,prod-8,25,0,24.75,0
2025-07-01,outlet-4,prod-9,11,0,27.39,13
2025-07-01,outlet-4,prod-10,11,0,43.89,39
2025-07-01,outlet-4,prod-11,15,0,26.85,43
2025-07-01,outlet-4,prod-12,15,1,44.85,29
2025-07-01,outlet-4,prod-13,15,0,25.349999999999998,39
2025-07-01,outlet-4,prod-14,13,0,29.77,45
2025-07-01,outlet-4,prod-15,21,2,62.790000000000006,136
2025-07-01,outlet-4,prod-16,13,1,16.77,57
2025-07-01,outlet-4,prod-17,5,0,17.450000000000003,72
2025-07-01,outlet-4,prod-18,30,2,44.7,57
2025-07-01,outlet-4,prod-19,12,0,35.88,11
2025-07-01,outlet-4,prod-20,23,0,45.77,9
2025-07-01,outlet-4,prod-21,28,1,64.12,10
2025-07-01,outlet-4,prod-22,7,0,24.43,48
2025-07-01,outlet-4,prod-23,8,0,19.92,16
2025-07-01,outlet-4,prod-24,26,1,103.74000000000001,1
2025-07-01,outlet-4,prod-25,17,0,30.43,173
2025-07-01,outlet-4,prod-26,7,0,31.43,19
2025-07-01,outlet-4,prod-27,22,1,28.380000000000003,216
2025-07-01,outlet-4,prod-28,9,0,44.910000000000004,13
2025-07-01,outlet-4,prod-29,13,0,51.870000000000005,29
2025-07-01,outlet-4,prod-30,9,0,22.410000000000004,24
2025-07-01,outlet-4,prod-31,9,0,11.61,0
2025-07-01,outlet-4,prod-32,9,0,22.410000000000004,4
2025-07-01,outlet-4,prod-33,16,0,55.84,18
2025-07-01,outlet-4,prod-34,7,0,10.43,105
2025-07-01,outlet-4,prod-35,1,0,6.99,0
2025-07-01,outlet-4,prod-36,10,0,79.9,154
2025-07-01,outlet-4,prod-37,7,0,6.93,20
2025-07-01,outlet-4,prod-38,7,0,90.93,23
2025-07-01,outlet-4,prod-39,5,0,27.450000000000003,11
2025-07-01,outlet-4,prod-40,7,0,20.93,9
2025-07-01,outlet-5,prod-1,4,0,5.96,25
2025-07-01,outlet-5,prod-2,12,1,15.48,15
2025-07-01,outlet-5,prod-3,1,0,3.49,10
2025-07-01,outlet-5,prod-4,63,2,125.37,416
2025-07-01,outlet-5,prod-5,8,0,26.32,32
2025-07-01,outlet-5,prod-6,5,0,34.95,4
2025-07-01,outlet-5,prod-7,4,0,31.96,10
2025-07-01,outlet-5,prod-8,89,2,88.11,193
2025-07-01,outlet-5,prod-9,36,1,89.64000000000001,68
2025-07-01,outlet-5,prod-10,6,0,23.94,22
2025-07-01,outlet-5,prod-11,5,0,8.95,0
2025-07-01,outlet-5,prod-12,1,0,2.99,14
2025-07-01,outlet-5,prod-13,3,0,5.07,45
2025-07-01,outlet-5,prod-14,5,0,11.45,7
2025-07-01,outlet-5,prod-15,7,0,20.93,4
2025-07-01,outlet-5,prod-16,4,0,5.16,117
2025-07-01,outlet-5,prod-17,6,1,20.94,7
2025-07-01,outlet-5,prod-18,12,1,17.88,28
2025-07-01,outlet-5,prod-19,11,0,32.89,22
2025-07-01,outlet-5,prod-20,16,0,31.84,0
2025-07-01,outlet-5,prod-21,2,0,4.58,112
2025-07-01,outlet-5,prod-22,1,0,3.49,6
2025-07-01,outlet-5,prod-23,1,0,2.49,10
2025-07-01,outlet-5,prod-24,3,0,11.97,25
2025-07-01,outlet-5,prod-25,36,1,64.44,70
2025-07-01,outlet-5,prod-26,2,0,8.98,4
2025-07-01,outlet-5,prod-27,43,1,55.47,175
2025-07-01,outlet-5,prod-28,1,0,4.99,6
2025-07-01,outlet-5,prod-29,1,0,3.99,14
2025-07-01,outlet-5,prod-30,1,0,2.49,87
2025-07-01,outlet-5,prod-31,97,3,125.13000000000001,190
2025-07-01,outlet-5,prod-32,31,1,77.19000000000001,141
2025-07-01,outlet-5,prod-33,3,0,10.47,27
2025-07-01,outlet-5,prod-34,7,0,10.43,18
2025-07-01,outlet-5,prod-35,1,0,6.99,1
2025-07-01,outlet-5,prod-36,4,0,31.96,66
2025-07-01,outlet-5,prod-37,21,0,20.79,66
2025-07-01,outlet-5,prod-38,0,0,0.0,9
2025-07-01,outlet-5,prod-39,1,0,5.49,0
2025-07-01,outlet-5,prod-40,1,0,2.99,11
2025-07-02,outlet-1,prod-1,27,1,40.23,64
2025-07-02,outlet-1,prod-2,41,2,52.89,55
2025-07-02,outlet-1,prod-3,19,0,66.31,18
2025-07-02,outlet-1,prod-4,28,1,55.72,1
2025-07-02,outlet-1,prod-5,12,0,39.480000000000004,44
2025-07-02,outlet-1,prod-6,18,0,125.82000000000001,184
2025-07-02,outlet-1,prod-7,27,2,215.73000000000002,2
2025-07-02,outlet-1,prod-8,24,1,23.759999999999998,1
2025-07-02,outlet-1,prod-9,0,0,0.0,85
2025-07-02,outlet-1,prod-10,9,0,35.910000000000004,5
2025-07-02,outlet-1,prod-11,14,0,25.060000000000002,299
2025-07-02,outlet-1,prod-12,0,0,0.0,55
2025-07-02,outlet-1,prod-13,18,0,30.419999999999998,362
2025-07-02,outlet-1,prod-14,10,0,22.9,7
2025-07-02,outlet-1,prod-15,18,1,53.82000000000001,100
2025-07-02,outlet-1,prod-16,24,1,30.96,38
2025-07-02,outlet-1,prod-17,21,2,73.29,29
2025-07-02,outlet-1,prod-18,14,1,20.86,98
2025-07-02,outlet-1,prod-19,11,0,32.89,7
2025-07-02,outlet-1,prod-20,9,0,17.91,48
2025-07-02,outlet-1,prod-21,21,1,48.09,18
2025-07-02,outlet-1,prod-22,0,0,0.0,0
2025-07-02,outlet-1,prod-23,3,0,7.470000000000001,0
2025-07-02,outlet-1,prod-24,21,1,83.79,8
2025-07-02,outlet-1,prod-25,22,0,39.38,54
2025-07-02,outlet-1,prod-26,0,0,0.0,0
2025-07-02,outlet-1,prod-27,0,0,0.0,104
2025-07-02,outlet-1,prod-28,8,0,39.92,13
2025-07-02,outlet-1,prod-29,10,0,39.900000000000006,128
2025-07-02,outlet-1,prod-30,8,0,19.92,35
2025-07-02,outlet-1,prod-31,24,1,30.96,83
2025-07-02,outlet-1,prod-32,2,0,4.98,42
2025-07-02,outlet-1,prod-33,13,0,45.370000000000005,53
2025-07-02,outlet-1,prod-34,9,0,13.41,17
2025-07-02,outlet-1,prod-35,3,0,20.97,84
2025-07-02,outlet-1,prod-36,9,0,71.91,16
2025-07-02,outlet-1,prod-37,11,0,10.89,22
2025-07-02,outlet-1,prod-38,4,0,51.96,21
2025-07-02,outlet-1,prod-39,6,0,32.94,4
2025-07-02,outlet-1,prod-40,0,0,0.0,0
2025-07-02,outlet-2,prod-1,20,1,29.8,15
2025-07-02,outlet-2,prod-2,0,0,0.0,140
2025-07-02,outlet-2,prod-3,6,0,20.94,351
2025-07-02,outlet-2,prod-4,0,0,0.0,18
2025-07-02,outlet-2,prod-5,10,0,32.9,13
2025-07-02,outlet-2,prod-6,8,0,55.92,70
2025-07-02,outlet-2,prod-7,14,1,111.86,44
2025-07-02,outlet-2,prod-8,58,1,57.42,95
2025-07-02,outlet-2,prod-9,17,0,42.330000000000005,62
2025-07-02,outlet-2,prod-10,9,0,35.910000000000004,8
2025-07-02,outlet-2,prod-11,0,0,0.0,0
2025-07-02,outlet-2,prod-12,12,0,35.88,32
2025-07-02,outlet-2,prod-13,13,0,21.97,292
2025-07-02,outlet-2,prod-14,9,0,20.61,1
2025-07-02,outlet-2,prod-15,11,0,32.89,44
2025-07-02,outlet-2,prod-16,9,0,11.61,35
2025-07-02,outlet-2,prod-17,10,1,34.900000000000006,29
2025-07-02,outlet-2,prod-18,16,1,23.84,48
2025-07-02,outlet-2,prod-19,14,0,41.86,13
2025-07-02,outlet-2,prod-20,30,0,59.7,0
2025-07-02,outlet-2,prod-21,27,2,61.83,10
2025-07-02,outlet-2,prod-22,7,0,24.43,13
2025-07-02,outlet-2,prod-23,5,0,12.450000000000001,19
2025-07-02,outlet-2,prod-24,8,0,31.92,7
2025-07-02,outlet-2,prod-25,17,0,30.43,334
2025-07-02,outlet-2,prod-26,0,0,0.0,0
2025-07-02,outlet-2,prod-27,33,1,42.57,118
2025-07-02,outlet-2,prod-28,5,0,24.950000000000003,1
2025-07-02,outlet-2,prod-29,7,0,27.93,23
2025-07-02,outlet-2,prod-30,3,0,7.470000000000001,36
2025-07-02,outlet-2,prod-31,25,1,32.25,112
2025-07-02,outlet-2,prod-32,15,0,37.35,5
2025-07-02,outlet-2,prod-33,0,0,0.0,44
2025-07-02,outlet-2,prod-34,8,0,11.92,4
2025-07-02,outlet-2,prod-35,2,0,13.98,7
2025-07-02,outlet-2,prod-36,0,0,0.0,0
2025-07-02,outlet-2,prod-37,21,0,20.79,139
2025-07-02,outlet-2,prod-38,4,0,51.96,17
2025-07-02,outlet-2,prod-39,4,0,21.96,118
2025-07-02,outlet-2,prod-40,7,0,20.93,13
2025-07-02,outlet-3,prod-1,0,0,0.0,0
2025-07-02,outlet-3,prod-2,16,0,20.64,17
2025-07-02,outlet-3,prod-3,4,0,13.96,37
2025-07-02,outlet-3,prod-4,57,2,113.42999999999999,66
2025-07-02,outlet-3,prod-5,6,0,19.740000000000002,0
2025-07-02,outlet-3,prod-6,5,0,34.95,8
2025-07-02,outlet-3,prod-7,12,1,95.88,25
2025-07-02,outlet-3,prod-8,61,1,60.39,99
2025-07-02,outlet-3,prod-9,16,0,39.84,70
2025-07-02,outlet-3,prod-10,4,0,15.96,55
2025-07-02,outlet-3,prod-11,6,0,10.74,3
2025-07-02,outlet-3,prod-12,9,0,26.910000000000004,6
2025-07-02,outlet-3,prod-13,10,0,16.9,41
2025-07-02,outlet-3,prod-14,6,0,13.74,49
2025-07-02,outlet-3,prod-15,5,0,14.950000000000001,16
2025-07-02,outlet-3,prod-16,3,0,3.87,17
2025-07-02,outlet-3,prod-17,5,0,17.450000000000003,0
2025-07-02,outlet-3,prod-18,11,1,16.39,46
2025-07-02,outlet-3,prod-19,14,1,41.86,29
2025-07-02,outlet-3,prod-20,51,1,101.49,103
2025-07-02,outlet-3,prod-21,1,0,2.29,10
2025-07-02,outlet-3,prod-22,5,0,17.450000000000003,8
2025-07-02,outlet-3,prod-23,3,0,7.470000000000001,1
2025-07-02,outlet-3,prod-24,9,0,35.910000000000004,0
2025-07-02,outlet-3,prod-25,22,0,39.38,135
2025-07-02,outlet-3,prod-26,4,0,17.96,2
2025-07-02,outlet-3,prod-27,37,1,47.730000000000004,121
2025-07-02,outlet-3,prod-28,3,0,14.97,17
2025-07-02,outlet-3,prod-29,6,0,23.94,13
2025-07-02,outlet-3,prod-30,6,0,14.940000000000001,2
2025-07-02,outlet-3,prod-31,5,0,6.45,4
2025-07-02,outlet-3,prod-32,30,1,74.7,1
2025-07-02,outlet-3,prod-33,5,0,17.450000000000003,7
2025-07-02,outlet-3,prod-34,4,0,5.96,15
2025-07-02,outlet-3,prod-35,3,0,20.97,41
2025-07-02,outlet-3,prod-36,0,0,0.0,0
2025-07-02,outlet-3,prod-37,38,1,37.62,43
2025-07-02,outlet-3,prod-38,1,0,12.99,6
2025-07-02,outlet-3,prod-39,0,0,0.0,15
2025-07-02,outlet-3,prod-40,0,0,0.0,0
2025-07-02,outlet-4,prod-1,60,2,89.4,199
2025-07-02,outlet-4,prod-2,43,2,55.47,102
2025-07-02,outlet-4,prod-3,26,0,90.74000000000001,507
2025-07-02,outlet-4,prod-4,22,1,43.78,17
2025-07-02,outlet-4,prod-5,19,0,62.51,24
2025-07-02,outlet-4,prod-6,15,0,104.85000000000001,11
2025-07-02,outlet-4,prod-7,26,1,207.74,465
2025-07-02,outlet-4,prod-8,0,0,0.0,0
2025-07-02,outlet-4,prod-9,8,0,19.92,26
2025-07-02,outlet-4,prod-10,8,0,31.92,31
2025-07-02,outlet-4,prod-11,22,0,39.38,21
2025-07-02,outlet-4,prod-12,17,1,50.830000000000005,13
2025-07-02,outlet-4,prod-13,13,0,21.97,26
2025-07-02,outlet-4,prod-14,15,0,34.35,30
2025-07-02,outlet-4,prod-15,32,1,95.68,174
2025-07-02,outlet-4,prod-16,16,1,20.64,42
2025-07-02,outlet-4,prod-17,19,1,66.31,54
2025-07-02,outlet-4,prod-18,28,2,41.72,31
2025-07-02,outlet-4,prod-19,9,0,26.910000000000004,2
2025-07-02,outlet-4,prod-20,9,0,17.91,0
2025-07-02,outlet-4,prod-21,10,0,22.9,23
2025-07-02,outlet-4,prod-22,8,0,27.92,40
2025-07-02,outlet-4,prod-23,11,0,27.39,15
2025-07-02,outlet-4,prod-24,1,0,3.99,0
2025-07-02,outlet-4,prod-25,11,0,19.69,162
2025-07-02,outlet-4,prod-26,8,0,35.92,11
2025-07-02,outlet-4,prod-27,14,0,18.060000000000002,202
2025-07-02,outlet-4,prod-28,11,0,54.89,2
2025-07-02,outlet-4,prod-29,12,0,47.88,17
2025-07-02,outlet-4,prod-30,9,0,22.410000000000004,35
2025-07-02,outlet-4,prod-31,0,0,0.0,60
2025-07-02,outlet-4,prod-32,2,0,4.98,2
2025-07-02,outlet-4,prod-33,18,0,62.82000000000001,0
2025-07-02,outlet-4,prod-34,10,0,14.9,95
2025-07-02,outlet-4,prod-35,0,0,0.0,22
2025-07-02,outlet-4,prod-36,11,0,87.89,143
2025-07-02,outlet-4,prod-37,7,0,6.93,19
2025-07-02,outlet-4,prod-38,7,0,90.93,16
2025-07-02,outlet-4,prod-39,6,0,32.94,5
2025-07-02,outlet-4,prod-40,8,0,23.92,1
2025-07-02,outlet-5,prod-1,4,0,5.96,21
2025-07-02,outlet-5,prod-2,11,0,14.190000000000001,4
2025-07-02,outlet-5,prod-3,2,0,6.98,13
2025-07-02,outlet-5,prod-4,46,1,91.54,371
2025-07-02,outlet-5,prod-5,6,0,19.740000000000002,26
2025-07-02,outlet-5,prod-6,4,0,27.96,27
2025-07-02,outlet-5,prod-7,3,0,23.97,7
2025-07-02,outlet-5,prod-8,153,4,151.47,44
2025-07-02,outlet-5,prod-9,10,0,24.900000000000002,58
2025-07-02,outlet-5,prod-10,6,0,23.94,25
2025-07-02,outlet-5,prod-11,0,0,0.0,0
2025-07-02,outlet-5,prod-12,2,0,5.98,12
2025-07-02,outlet-5,prod-13,9,0,15.209999999999999,36
2025-07-02,outlet-5,prod-14,4,0,9.16,3
2025-07-02,outlet-5,prod-15,4,0,11.96,0
2025-07-02,outlet-5,prod-16,5,0,6.45,112
2025-07-02,outlet-5,prod-17,7,0,24.43,0
2025-07-02,outlet-5,prod-18,10,1,14.9,46
2025-07-02,outlet-5,prod-19,11,0,32.89,11
2025-07-02,outlet-5,prod-20,0,0,0.0,0
2025-07-02,outlet-5,prod-21,2,0,4.58,110
2025-07-02,outlet-5,prod-22,1,0,3.49,5
2025-07-02,outlet-5,prod-23,2,0,4.98,8
2025-07-02,outlet-5,prod-24,6,0,23.94,19
2025-07-02,outlet-5,prod-25,22,1,39.38,49
2025-07-02,outlet-5,prod-26,3,0,13.47,1
2025-07-02,outlet-5,prod-27,72,2,92.88,172
2025-07-02,outlet-5,prod-28,1,0,4.99,5
2025-07-02,outlet-5,prod-29,1,0,3.99,13
2025-07-02,outlet-5,prod-30,1,0,2.49,86
2025-07-02,outlet-5,prod-31,138,5,178.02,57
2025-07-02,outlet-5,prod-32,38,1,94.62,104
2025-07-02,outlet-5,prod-33,6,0,20.94,21
2025-07-02,outlet-5,prod-34,8,0,11.92,10
2025-07-02,outlet-5,prod-35,1,0,6.99,0
2025-07-02,outlet-5,prod-36,4,0,31.96,62
2025-07-02,outlet-5,prod-37,27,0,26.73,39
2025-07-02,outlet-5,prod-38,0,0,0.0,9
2025-07-02,outlet-5,prod-39,0,0,0.0,0
2025-07-02,outlet-5,prod-40,1,0,2.99,14
2025-07-03,outlet-1,prod-1,35,2,52.15,31
2025-07-03,outlet-1,prod-2,34,2,43.86,110
2025-07-03,outlet-1,prod-3,18,1,62.82000000000001,1
2025-07-03,outlet-1,prod-4,1,0,1.99,0
2025-07-03,outlet-1,prod-5,20,0,65.8,24
2025-07-03,outlet-1,prod-6,12,0,83.88,243
2025-07-03,outlet-1,prod-7,2,0,15.98,96
2025-07-03,outlet-1,prod-8,1,0,0.99,190
2025-07-03,outlet-1,prod-9,18,0,44.82000000000001,67
2025-07-03,outlet-1,prod-10,5,0,19.950000000000003,0
2025-07-03,outlet-1,prod-11,18,0,32.22,281
2025-07-03,outlet-1,prod-12,11,0,32.89,44
2025-07-03,outlet-1,prod-13,17,0,28.73,345
2025-07-03,outlet-1,prod-14,7,0,16.03,13
2025-07-03,outlet-1,prod-15,20,1,59.800000000000004,81
2025-07-03,outlet-1,prod-16,17,1,21.93,22
2025-07-03,outlet-1,prod-17,11,0,38.39,18
2025-07-03,outlet-1,prod-18,12,1,17.88,87
2025-07-03,outlet-1,prod-19,7,0,20.93,40
2025-07-03,outlet-1,prod-20,25,0,49.75,37
2025-07-03,outlet-1,prod-21,18,1,41.22,22
2025-07-03,outlet-1,prod-22,0,0,0.0,40
2025-07-03,outlet-1,prod-23,0,0,0.0,31
2025-07-03,outlet-1,prod-24,5,0,19.950000000000003,3
2025-07-03,outlet-1,prod-25,29,1,51.910000000000004,26
2025-07-03,outlet-1,prod-26,0,0,0.0,0
2025-07-03,outlet-1,prod-27,26,1,33.54,79
2025-07-03,outlet-1,prod-28,7,0,34.93,6
2025-07-03,outlet-1,prod-29,10,0,39.900000000000006,118
2025-07-03,outlet-1,prod-30,6,0,14.940000000000001,29
2025-07-03,outlet-1,prod-31,45,1,58.050000000000004,39
2025-07-03,outlet-1,prod-32,10,0,24.900000000000002,32
2025-07-03,outlet-1,prod-33,17,0,59.330000000000005,36
2025-07-03,outlet-1,prod-34,6,0,8.94,11
2025-07-03,outlet-1,prod-35,5,0,34.95,79
2025-07-03,outlet-1,prod-36,11,0,87.89,5
2025-07-03,outlet-1,prod-37,8,0,7.92,14
2025-07-03,outlet-1,prod-38,5,0,64.95,16
2025-07-03,outlet-1,prod-39,4,0,21.96,27
2025-07-03,outlet-1,prod-40,0,0,0.0,0
2025-07-03,outlet-2,prod-1,15,1,22.35,1
2025-07-03,outlet-2,prod-2,35,2,45.15,107
2025-07-03,outlet-2,prod-3,10,0,34.900000000000006,392
2025-07-03,outlet-2,prod-4,18,1,35.82,1
2025-07-03,outlet-2,prod-5,12,0,39.480000000000004,1
2025-07-03,outlet-2,prod-6,9,0,62.910000000000004,61
2025-07-03,outlet-2,prod-7,12,1,95.88,51
2025-07-03,outlet-2,prod-8,54,1,53.46,42
2025-07-03,outlet-2,prod-9,13,0,32.370000000000005,49
2025-07-03,outlet-2,prod-10,8,0,31.92,45
2025-07-03,outlet-2,prod-11,0,0,0.0,0
2025-07-03,outlet-2,prod-12,9,0,26.910000000000004,23
2025-07-03,outlet-2,prod-13,14,0,23.66,278
2025-07-03,outlet-2,prod-14,1,0,2.29,0
2025-07-03,outlet-2,prod-15,9,0,26.910000000000004,35
2025-07-03,outlet-2,prod-16,13,0,16.77,22
2025-07-03,outlet-2,prod-17,5,0,17.450000000000003,24
2025-07-03,outlet-2,prod-18,14,1,20.86,35
2025-07-03,outlet-2,prod-19,13,0,38.870000000000005,0
2025-07-03,outlet-2,prod-20,0,0,0.0,95
2025-07-03,outlet-2,prod-21,10,1,22.9,59
2025-07-03,outlet-2,prod-22,5,0,17.450000000000003,8
2025-07-03,outlet-2,prod-23,5,0,12.450000000000001,14
2025-07-03,outlet-2,prod-24,7,0,27.93,45
2025-07-03,outlet-2,prod-25,32,0,57.28,384
2025-07-03,outlet-2,prod-26,0,0,0.0,24
2025-07-03,outlet-2,prod-27,30,1,38.7,89
2025-07-03,outlet-2,prod-28,1,0,4.99,0
2025-07-03,outlet-2,prod-29,8,0,31.92,15
2025-07-03,outlet-2,prod-30,8,0,19.92,28
2025-07-03,outlet-2,prod-31,13,0,16.77,99
2025-07-03,outlet-2,prod-32,5,0,12.450000000000001,0
2025-07-03,outlet-2,prod-33,10,0,34.900000000000006,34
2025-07-03,outlet-2,prod-34,4,0,5.96,0
2025-07-03,outlet-2,prod-35,4,0,27.96,3
2025-07-03,outlet-2,prod-36,0,0,0.0,0
2025-07-03,outlet-2,prod-37,17,0,16.83,122
2025-07-03,outlet-2,prod-38,3,0,38.97,14
2025-07-03,outlet-2,prod-39,5,0,27.450000000000003,113
2025-07-03,outlet-2,prod-40,8,0,23.92,5
2025-07-03,outlet-3,prod-1,0,0,0.0,0
2025-07-03,outlet-3,prod-2,16,0,20.64,1
2025-07-03,outlet-3,prod-3,9,0,31.410000000000004,28
